Acero		
Tiempo	Fuerza	Desplazamiento
seg	N	mm
1.84	800.0851	0.1505625
1.85	805.1873	0.1513958
1.86	807.9052	0.1522187
1.87	813.3411	0.1530417
1.88	822.3057	0.153875
1.89	828.9814	0.1547083
1.9	832.2716	0.1555417
1.91	836.1816	0.156375
1.92	841.3315	0.1572188
1.93	844.7647	0.1580625
1.94	850.3437	0.1589063
1.95	855.3505	0.1597604
1.96	857.8301	0.1606042
1.97	861.0725	0.1614375
1.98	868.2251	0.1622708
1.99	873.1842	0.1630833
2	878.6678	0.1639062
2.01	883.3885	0.1647292
2.02	888.9675	0.1655625
2.03	893.6882	0.166375
2.04	897.8844	0.1672083
2.05	904.3217	0.1680312
2.06	909.9484	0.1688646
2.07	913.5247	0.1697083
2.08	918.4838	0.1705417
2.09	924.8257	0.1713854
2.1	929.5941	0.1722188
2.11	934.0763	0.1730521
2.12	937.3188	0.173875
2.13	943.5654	0.1747083
2.14	949.2874	0.1755417
2.15	952.8637	0.176375
2.16	957.1075	0.1772083
2.17	961.4944	0.1780521
2.18	967.2642	0.1788958
2.19	972.1756	0.1797396
2.2	975.6088	0.1805833
2.21	978.0884	0.1814271
2.22	985.4794	0.1822708
2.23	992.4889	0.1830937
2.24	995.8267	0.1839167
2.25	999.4984	0.1847396
2.26	1007.175	0.1855625
2.27	1012.754	0.1863958
2.28	1014.09	0.1872187
2.29	1017.284	0.1880417
2.3	1023.626	0.188875
2.31	1028.872	0.1897083
2.32	1034.546	0.1905521
2.33	1040.363	0.1913958
2.34	1044.893	0.1922292
2.35	1050.281	0.1930625
2.36	1052.952	0.1938958
2.37	1059.961	0.1947187
2.38	1063.967	0.1955521
2.39	1069.546	0.1963854
2.4	1077.652	0.1972187
2.41	1080.799	0.1980521
2.42	1083.612	0.1988854
2.43	1088.238	0.1997292
2.44	1091.576	0.2005729
2.45	1095.724	0.2014271
2.46	1105.022	0.2022708
2.47	1110.935	0.2031042
2.48	1111.984	0.2039271
2.49	1116.037	0.20475
2.5	1121.712	0.2055729
2.51	1126.099	0.2063958
2.52	1132.393	0.2072188
2.53	1141.024	0.2080417
2.54	1142.502	0.208875
2.55	1148.319	0.2096979
2.56	1155.233	0.2105312
2.57	1156.664	0.211375
2.58	1162.052	0.2122187
2.59	1168.394	0.2130521
2.6	1171.923	0.2138854
2.61	1176.214	0.2147187
2.62	1182.032	0.2155417
2.63	1187.182	0.216375
2.64	1192.093	0.2172083
2.65	1196.575	0.2180417
2.66	1202.106	0.218875
2.67	1205.969	0.2197188
2.68	1211.453	0.2205625
2.69	1215.839	0.2214063
2.7	1219.75	0.2222604
2.71	1225.519	0.2231042
2.72	1230.145	0.2239375
2.73	1235.819	0.2247708
2.74	1241.159	0.2255833
2.75	1246.881	0.2264062
2.76	1249.79	0.2272292
2.77	1254.797	0.2280625
2.78	1259.756	0.228875
2.79	1264.811	0.2297083
2.8	1268.196	0.2305312
2.81	1274.395	0.2313646
2.82	1281.071	0.2322083
2.83	1284.218	0.2330417
2.84	1289.511	0.2338854
2.85	1294.47	0.2347188
2.86	1298.714	0.2355521
2.87	1303.577	0.236375
2.88	1310.062	0.2372083
2.89	1314.592	0.2380417
2.9	1316.118	0.238875
2.91	1323.557	0.2397083
2.92	1329.184	0.2405417
2.93	1331.854	0.2413854
2.94	1337.147	0.2422396
2.95	1340.914	0.2430833
2.96	1345.587	0.2439271
2.97	1351.5	0.2447708
2.98	1355.267	0.2455937
2.99	1358.557	0.2464167
3	1363.754	0.2472396
3.01	1370.525	0.2480729
3.02	1375.58	0.2488958
3.03	1379.299	0.2497187
3.04	1384.449	0.2505417
3.05	1391.22	0.251375
3.06	1395.655	0.2522083
3.07	1396.99	0.2530521
3.08	1402.426	0.2538854
3.09	1408.577	0.2547292
3.1	1413.822	0.2555625
3.11	1414.347	0.2563854
3.12	1419.067	0.2572187
3.13	1426.935	0.2580521
3.14	1431.799	0.258875
3.15	1437.283	0.2597083
3.16	1442.003	0.2605521
3.17	1445.484	0.2613958
3.18	1447.058	0.2622292
3.19	1455.259	0.2630833
3.2	1461.267	0.2639271
3.21	1463.413	0.2647708
3.22	1469.803	0.2656042
3.23	1472.425	0.2664271
3.24	1477.099	0.26725
3.25	1483.011	0.2680729
3.26	1487.398	0.2688958
3.27	1492.453	0.2697292
3.28	1497.078	0.2705521
3.29	1499.796	0.271375
3.3	1504.755	0.2721979
3.31	1509.619	0.2730312
3.32	1513.958	0.273875
3.33	1518.488	0.2747083
3.34	1522.064	0.2755521
3.35	1527.357	0.2763854
3.36	1530.981	0.2772188
3.37	1536.608	0.2780521
3.38	1541.805	0.278875
3.39	1548.147	0.2797083
3.4	1551.294	0.2805417
3.41	1555.3	0.2813854
3.42	1560.545	0.2822188
3.43	1564.979	0.2830625
3.44	1566.982	0.2839167
3.45	1571.846	0.2847604
3.46	1576.376	0.2856041
3.47	1580.858	0.2864375
3.48	1585.579	0.2872604
3.49	1590.014	0.2880833
3.5	1592.97	0.2889062
3.51	1598.358	0.2897292
3.52	1604.557	0.2905521
3.53	1607.227	0.291375
3.54	1613.808	0.2922083
3.55	1619.101	0.2930312
3.56	1620.626	0.2938646
3.57	1625.49	0.2947083
3.58	1631.689	0.2955521
3.59	1635.265	0.2963854
3.6	1636.648	0.2972187
3.61	1640.558	0.2980521
3.62	1646.328	0.2988854
3.63	1650.381	0.2997083
3.64	1654.148	0.3005417
3.65	1660.109	0.301375
3.66	1666.164	0.3022083
3.67	1668.072	0.3030521
3.68	1673.841	0.3038958
3.69	1678.896	0.3047396
3.7	1681.757	0.3055833
3.71	1685.667	0.3064271
3.72	1689.863	0.3072604
3.73	1695.442	0.3080938
3.74	1702.547	0.3089167
3.75	1705.265	0.3097396
3.76	1710.177	0.3105625
3.77	1714.087	0.3113958
3.78	1717.377	0.3122188
3.79	1720.953	0.3130417
3.8	1725.483	0.313875
3.81	1729.631	0.3147083
3.82	1733.112	0.3155417
3.83	1735.306	0.3163854
3.84	1741.791	0.3172292
3.85	1745.939	0.3180625
3.86	1750.231	0.3188958
3.87	1756.334	0.3197187
3.88	1759.911	0.3205521
3.89	1763.344	0.3213854
3.9	1765.776	0.3222083
3.91	1770.83	0.3230417
3.92	1776.266	0.3238854
3.93	1779.652	0.3247292
3.94	1785.564	0.3255833
3.95	1788.378	0.3264271
3.96	1792.097	0.3272708
3.97	1797.676	0.3281042
